Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
60,Iván Alejo,ESP,MFFW,Cádiz,La Liga,27,1995,20,0.59,0,0,0.17,1.02,0.34,0.17
61,Doðan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,12,0.08,0,0,0,0,0,0
62,Carles Aleñá,ESP,MF,Getafe,La Liga,24,1998,33,0.23,0.04,0,0.04,1.82,0.54,0.08
63,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32,0.06,0,0,0.06,1.61,0.44,0.38
64,Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,22,2000,1,0,0,0,0,0,0,0
65,Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,18,2004,32,0.29,0.1,0.1,0.2,2.06,0.74,0.05
66,Alisson,BRA,GK,Liverpool,Premier League,29,1992,36,0,0,0,0,0,0,0.03
67,Allan,BRA,MF,Everton,Premier League,31,1991,28,0.29,0.04,0,0,0.29,0.12,0.08
68,Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,27,1995,30,0.06,0,0,0.06,2.55,0.91,0.12
69,Dele Alli,ENG,MF,Everton,Premier League,26,1996,11,0.79,0,0,0,0.79,0,0
70,Dele Alli,ENG,MFFW,Tottenham,Premier League,26,1996,10,0.14,0,0,0.14,0.55,0.27,0
71,Miguel Almirón,PAR,MFFW,Newcastle Utd,Premier League,28,1994,30,0.1,0,0,0.05,1.68,0.37,0
72,Marcos Alonso,ESP,DF,Chelsea,Premier League,31,1990,28,0.33,0,0,0.17,1.78,0.41,0.17
73,Giorgio Altare,ITA,DF,Cagliari,Serie A,23,1998,19,0.31,0,0,0.06,1.1,0.37,0
74,Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,36,1985,1,0,0,0,0,10,0,0
75,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,22,0.29,0,0,0,0.39,0,0
76,Dani Alves,BRA,DF,Barcelona,La Liga,39,1983,14,0.16,0.08,0,0.08,0.41,0.16,0.25
77,Steven Alzate,COL,MF,Brighton,Premier League,23,1998,9,0,0,0,0,0.22,0.22,0
78,Ibrahim Amadou,FRA,DFMF,Metz,Ligue 1,29,1993,10,0.44,0,0,0.11,0.33,0.22,0
79,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,20,2001,3,0,0,0,0,1.11,0,1.11
80,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,28,0.17,0,0,0,0.08,0.04,0
81,Amath,SEN,FWMF,Mallorca,La Liga,25,1996,19,0.51,0,0,0,1.12,0.41,0.1
82,Jordan Amavi,FRA,DF,Marseille,Ligue 1,28,1994,2,0,0,0,0,0,0,0
83,Jordan Amavi,FRA,DF,Nice,Ligue 1,28,1994,8,0.22,0,0,0,0,0,0
84,Wisdom Amey,ITA,DF,Bologna,Serie A,16,2005,1,0,0,0,0,0,0,0
85,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,32,0.31,0.07,0.03,0.03,0.88,0.24,0.03
86,Nadiem Amiri,GER,MFFW,Genoa,Serie A,25,1996,13,0,0,0,0,2.11,0.79,0.13
87,Nadiem Amiri,GER,MFFW,Leverkusen,Bundesliga,25,1996,13,0,0,0,0.24,1.95,0.49,0
88,Ethan Ampadu,WAL,MFDF,Venezia,Serie A,21,2000,29,0.51,0.08,0.04,0,0.28,0.04,0.12
89,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,23,0.57,0,0,0.1,0.38,0.29,0
90,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,34,0.12,0,0,0,0.25,0.09,0.09
91,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,38,0.06,0,0,0.19,1.37,0.5,0.25
92,Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,26,0.21,0,0,0.21,2.5,0.93,0.07
93,Florin Andone,ROU,FW,Cádiz,La Liga,29,1993,5,0.5,0,0,0,1.5,0.5,0
94,Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,23,1998,17,0.34,0,0,0,0.6,0.26,0
95,Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,23,1998,9,0.26,0,0,0,0,0,0
96,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,33,0.39,0.03,0.03,0.07,0.59,0.16,0.03
97,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26,0.25,0.05,0,0.2,1.49,0.35,0.1
98,José Ángel,ESP,DF,Osasuna,La Liga,32,1989,23,0.17,0.08,0,0.08,0.92,0.25,0.08
